lr,fold,best_val_f1
5e-05,0,0.6318114995956421
5e-05,1,0.7863744497299194
5e-05,2,0.7040747404098511
0.0001,0,0.6290526390075684
0.0001,1,0.7590844035148621
0.0001,2,0.7678344249725342
0.0002,0,0.6405149102210999
0.0002,1,0.8127037882804871
0.0002,2,0.7929185032844543
