iou_threshold,tp,fp,fn,precision,recall,f1
0.1,289,65,443,0.8164,0.3948,0.5322
0.2,270,84,462,0.7627,0.3689,0.4972
0.3,238,116,494,0.6723,0.3251,0.4383
0.4,181,173,551,0.5113,0.2473,0.3333
0.5,117,237,615,0.3305,0.1598,0.2155
