iou_threshold,tp,fp,fn,precision,recall,f1
0.1,211,59,521,0.7815,0.2883,0.4212
0.2,190,80,542,0.7037,0.2596,0.3792
0.3,162,108,570,0.6,0.2213,0.3234
0.4,116,154,616,0.4296,0.1585,0.2315
0.5,72,198,660,0.2667,0.0984,0.1437
