epoch,train_loss,val_loss,val_f1,val_precision,val_recall,val_threshold
0,2.3321216778877454,2.1566569805145264,0.6191907525062561,0.759897768497467,0.5224507451057434,0.09999999403953552
1,1.9191964100568721,1.8015522956848145,0.6819912195205688,0.8483495116233826,0.5701808929443359,0.14999999105930328
2,1.8461078802744548,2.0783565044403076,0.6902100443840027,0.609430730342865,0.7956759929656982,0.6000000238418579
3,1.74218710569235,1.7333089113235474,0.701286256313324,0.6952804327011108,0.7073967456817627,0.09999999403953552
4,1.7345171708327074,2.3039448261260986,0.5988292694091797,0.8187627196311951,0.47203320264816284,0.05000000074505806
5,1.6442686838981433,1.5983216762542725,0.8085828423500061,0.7954233288764954,0.8221849799156189,0.14999999105930328
6,1.6575396825105717,1.9673413038253784,0.6455598473548889,0.6673175692558289,0.625176191329956,0.05000000074505806
7,1.6773415620510395,2.0654051303863525,0.724043607711792,0.7885578274726868,0.6692873239517212,0.05000000074505806
8,1.5975705232375708,2.2525079250335693,0.5088173151016235,0.7340613603591919,0.38934746384620667,0.05000000074505806
9,1.4975707775507219,2.148153781890869,0.6646645069122314,0.7728537917137146,0.5830458402633667,0.05000000074505806
10,1.5865667416499212,2.041393995285034,0.6305114030838013,0.8350710272789001,0.5064507722854614,0.05000000074505806
11,1.576769620944292,1.7146745920181274,0.7765793204307556,0.7949835062026978,0.7590080499649048,0.19999998807907104
12,1.52118542102667,1.9024854898452759,0.6774346828460693,0.7157140970230103,0.6430420875549316,0.05000000074505806
13,1.5129710007936528,2.391658067703247,0.5442739129066467,0.8593567609786987,0.3982541561126709,0.05000000074505806
14,1.4731406034567418,1.8795613050460815,0.6751605868339539,0.6744919419288635,0.6758305430412292,0.14999999105930328
15,1.4339677737309382,2.298983097076416,0.5946242809295654,0.6138588786125183,0.5765584707260132,0.05000000074505806
