epoch,train_loss,val_loss,val_f1,val_precision,val_recall,val_threshold
0,2.907559347431562,2.757625198364258,0.6733603477478027,0.6782146096229553,0.6685750484466553,0.3999999761581421
1,2.5867822602478383,2.8998684167861937,0.7071545124053955,0.6893733143806458,0.7258774042129517,0.949999988079071
2,2.564403114263077,2.536663556098938,0.7164069414138794,0.6851837635040283,0.7506115436553955,0.8999999761581421
3,2.3449180140132793,2.441669285297394,0.702825665473938,0.777454674243927,0.6412692070007324,0.05000000074505806
4,2.2123645265199983,2.358920681476593,0.7652124166488647,0.8072914481163025,0.7273026704788208,0.05000000074505806
5,2.18596100946616,2.275925850868225,0.7126511931419373,0.6949536204338074,0.7312735915184021,0.05000000074505806
6,2.1390715753822995,2.6607078552246093,0.6792291402816772,0.8487443923950195,0.5661540627479553,0.05000000074505806
7,2.1465028782337034,2.1041267275810243,0.8000622391700745,0.791327953338623,0.8089916110038757,0.44999998807907104
8,2.1749638709408496,2.2224050641059874,0.7993636727333069,0.8078486323356628,0.7910552024841309,0.09999999403953552
9,2.1492149760151467,2.7754523515701295,0.7553107738494873,0.8083010315895081,0.7088409662246704,0.05000000074505806
10,2.137066400539108,2.290184962749481,0.7718092799186707,0.7836034893989563,0.7603647708892822,0.05000000074505806
11,2.0201202805279292,2.244406580924988,0.7506960034370422,0.815545916557312,0.695399820804596,0.14999999105930328
12,2.023817574071605,2.3313103795051573,0.7297528386116028,0.7362598776817322,0.7233598828315735,0.14999999105930328
13,2.069167747135051,2.324240708351135,0.7427684664726257,0.7957949042320251,0.6963672041893005,0.14999999105930328
14,2.0152706179702493,2.2423200488090513,0.7614235877990723,0.7806629538536072,0.7431097626686096,0.09999999403953552
15,1.9872646485155785,2.9900619268417357,0.7209296226501465,0.7499208450317383,0.6940964460372925,0.05000000074505806
16,2.026236876409653,2.606107842922211,0.7524521350860596,0.7147037982940674,0.794410228729248,0.09999999403953552
17,2.0505792181394256,2.3216107845306397,0.7857864499092102,0.7929192781448364,0.7787806987762451,0.19999998807907104
