min_dist,sigma,outline_multiplier,outline_exp,pred,gt,tp,fp,fn,precision,recall,f1,precision_03,recall_03,f1_03
30,2.0,5.0,12.0,469,732,104,365,628,0.2217,0.1421,0.1732,0.5522,0.3538,0.4313
30,2.0,5.0,1.0,435,732,72,363,660,0.1655,0.0984,0.1234,0.5287,0.3142,0.3942
