epoch,train_loss,val_loss,val_f1,val_precision,val_recall,val_threshold
0,2.3172666278402825,4.148085069656372,0.5101473331451416,0.6045311093330383,0.4412553906440735,0.05000000074505806
1,2.0094608257243363,3.2590857267379763,0.505498468875885,0.7995376586914062,0.36958080530166626,0.05000000074505806
2,1.887799061288582,3.233618378639221,0.6573967933654785,0.6881118416786194,0.6293065547943115,0.05000000074505806
3,1.8494785566134186,4.366139388084411,0.515664279460907,0.8070738315582275,0.3788670599460602,0.05000000074505806
4,1.7473102794015163,4.072726821899414,0.49101486802101135,0.7410808205604553,0.3671320080757141,0.05000000074505806
5,1.7123970401601707,4.155750560760498,0.6154106259346008,0.7627741694450378,0.5157673954963684,0.05000000074505806
6,1.6466033304891279,2.7558674573898316,0.6573756337165833,0.6901533603668213,0.6275701522827148,0.14999999105930328
7,1.672968391274427,5.922166013717652,0.3594137132167816,0.8744282722473145,0.22619248926639557,0.05000000074505806
8,1.6221942781003689,3.2711833119392395,0.6242706179618835,0.734393298625946,0.5428673028945923,0.05000000074505806
9,1.6207623787639427,4.653821706771851,0.5989336371421814,0.7967000007629395,0.4798256754875183,0.05000000074505806
10,1.5825865100905343,5.706908488273621,0.33721187710762024,0.9361320734024048,0.2056443691253662,0.05000000074505806
11,1.5657869140423637,5.6347801923751835,0.44449302554130554,0.8558309674263,0.3002053499221802,0.05000000074505806
12,1.5796686611916662,6.167308044433594,0.29097262024879456,0.9389158487319946,0.1721632480621338,0.05000000074505806
