lr,fold,best_val_f1
5e-05,0,0.696428656578064
5e-05,1,0.8221787214279175
5e-05,2,0.783981442451477
0.0001,0,0.6205523610115051
0.0001,1,0.8429641127586365
0.0001,2,0.7892645001411438
0.0002,0,0.6349735856056213
0.0002,1,0.8071630597114563
0.0002,2,0.8075795769691467
