epoch,train_loss,val_loss,val_f1,val_precision,val_recall,val_threshold
0,2.80231543591148,2.907409143447876,0.6569918990135193,0.5517504811286926,0.8118436336517334,0.6499999761581421
1,2.490776727074071,3.3887242913246154,0.5980249047279358,0.7177340388298035,0.5125396847724915,0.05000000074505806
2,2.376861666378222,2.5538258790969848,0.7004214525222778,0.6770166158676147,0.7255025506019592,0.05000000074505806
3,2.331644344748112,3.1340070962905884,0.6120308041572571,0.8209756016731262,0.4878651797771454,0.05000000074505806
4,2.2795760122656126,2.320146632194519,0.7091036438941956,0.6852048635482788,0.7347297072410583,0.14999999105930328
5,2.2451642695923297,5.16645200252533,0.6410111784934998,0.5928829312324524,0.6976436376571655,0.05000000074505806
6,2.1563689283460206,2.671961808204651,0.6929916739463806,0.6766555905342102,0.7101359963417053,0.949999988079071
7,2.1454998603341173,2.1117213010787963,0.783926784992218,0.7785096168518066,0.7894198894500732,0.2499999850988388
8,2.1153662309311985,2.239659821987152,0.750481128692627,0.7925869226455688,0.7126233577728271,0.09999999403953552
9,2.0970281118537946,2.4063262343406677,0.7713414430618286,0.7723239064216614,0.7703614234924316,0.05000000074505806
10,2.108671937072486,2.454423356056213,0.7795670032501221,0.7397019267082214,0.8239737749099731,0.05000000074505806
11,2.0698226599665412,2.1973061680793764,0.7298152446746826,0.7202368378639221,0.7396517992019653,0.2499999850988388
12,2.0231600769779137,2.2520305156707763,0.7874664664268494,0.783026397228241,0.7919571995735168,0.05000000074505806
13,1.9990170873396578,2.2257532596588137,0.7879252433776855,0.7863034605979919,0.789553701877594,0.5
14,2.043189823976037,2.342159605026245,0.7641001343727112,0.7958131432533264,0.7348178029060364,0.09999999403953552
15,1.9945384229135792,6.0556795835495,0.6212881803512573,0.8786326050758362,0.48054149746894836,0.05000000074505806
16,1.9981865562193575,2.194991409778595,0.7755528092384338,0.7696628570556641,0.7815335988998413,0.44999998807907104
17,1.9190469875670315,2.3132692217826842,0.7270885705947876,0.728790283203125,0.7253947854042053,0.09999999403953552
18,1.9851181667450575,2.496639001369476,0.7607206106185913,0.731778621673584,0.7920461297035217,0.09999999403953552
19,1.943003238990293,2.70727823972702,0.7294146418571472,0.7907748222351074,0.6768913269042969,0.05000000074505806
20,1.9507356659013626,2.3328484892845154,0.7304337024688721,0.7671079039573669,0.6971061825752258,0.05000000074505806
21,2.0091426748978463,2.7866942167282103,0.7396166920661926,0.7880318760871887,0.6968062520027161,0.05000000074505806
22,1.956626786126031,2.2336772680282593,0.7723194360733032,0.7571865320205688,0.788069486618042,0.09999999403953552
23,1.9178530131167137,2.7375340700149535,0.7470666766166687,0.7329835295677185,0.7617015838623047,0.05000000074505806
