epoch,train_loss,val_loss,val_f1,val_precision,val_recall,val_threshold
0,2.951346254348755,3.455178737640381,0.44726434350013733,0.33172935247421265,0.6862838864326477,0.05000000074505806
1,2.4216874122619627,2.6875345706939697,0.5390217900276184,0.4769214987754822,0.6197153329849243,0.05000000074505806
2,2.2473802268505096,2.2103829383850098,0.5991619229316711,0.5019969344139099,0.7429686784744263,0.5
3,2.1736785054206846,3.5765957832336426,0.5308924317359924,0.507010281085968,0.5571357011795044,0.09999999403953552
4,2.051005685329437,2.1949801445007324,0.6452605724334717,0.5193818807601929,0.8516746163368225,0.09999999403953552
5,2.1488193035125733,2.1779115200042725,0.5728748440742493,0.5233977437019348,0.632682740688324,0.6000000238418579
6,2.0472134590148925,2.6702418327331543,0.5402603149414062,0.609472393989563,0.48516473174095154,0.05000000074505806
7,2.084227979183197,2.0179877281188965,0.6486901044845581,0.7143958210945129,0.594052791595459,0.19999998807907104
8,1.915250700712204,2.5154683589935303,0.5879930853843689,0.5471557378768921,0.6354178786277771,0.05000000074505806
9,1.9376498818397523,2.442112922668457,0.6466543674468994,0.7160952091217041,0.589490532875061,0.05000000074505806
10,1.9316401958465577,2.7470860481262207,0.4904690086841583,0.5678074955940247,0.4316728115081787,0.09999999403953552
11,1.8793430387973786,1.9137163162231445,0.7218776941299438,0.6170703768730164,0.8695713877677917,0.05000000074505806
12,1.8972140669822692,1.9857579469680786,0.7488452792167664,0.653132438659668,0.8774271011352539,0.699999988079071
13,1.8335921347141266,2.354677677154541,0.6779088973999023,0.7156488299369812,0.6439500451087952,0.05000000074505806
14,1.9050544679164887,1.7902134656906128,0.7990098595619202,0.7483422160148621,0.8570368885993958,0.19999998807907104
15,1.8382845878601075,2.690011739730835,0.6680806875228882,0.6633781790733337,0.6728502511978149,0.05000000074505806
16,1.799509835243225,1.8189759254455566,0.7353395223617554,0.7479959726333618,0.7231041789054871,0.29999998211860657
17,1.8330012381076812,2.312654733657837,0.600374162197113,0.6794095635414124,0.5378109216690063,0.05000000074505806
18,1.7774614810943603,3.3344802856445312,0.5177849531173706,0.8657362461090088,0.36934152245521545,0.05000000074505806
19,1.7531038701534272,2.540292263031006,0.7172444462776184,0.6729136109352112,0.7678280472755432,0.09999999403953552
20,1.7219296395778656,4.072134494781494,0.358963280916214,0.5396112203598022,0.2689318358898163,0.05000000074505806
21,1.7390692830085754,2.235084295272827,0.6024402976036072,0.7226722240447998,0.5165081024169922,0.05000000074505806
22,1.7424168169498444,1.8470346927642822,0.7813781499862671,0.7676303386688232,0.7956273555755615,0.29999998211860657
23,1.6116353809833526,1.9372382164001465,0.8021277189254761,0.7746570110321045,0.8316183686256409,0.05000000074505806
24,1.645527571439743,1.8498175144195557,0.734978437423706,0.7692676186561584,0.7036157250404358,0.699999988079071
25,1.7096589922904968,2.378897190093994,0.6494215726852417,0.6318376660346985,0.668012261390686,0.05000000074505806
26,1.7308699786663055,2.222545862197876,0.6787170767784119,0.6581111550331116,0.7006549835205078,0.800000011920929
27,1.6268421173095704,2.034815549850464,0.691582441329956,0.7459059953689575,0.6446343660354614,0.05000000074505806
28,1.5988651037216186,2.2600111961364746,0.7198818922042847,0.7308536767959595,0.7092346549034119,0.2499999850988388
29,1.6914678156375884,2.2329821586608887,0.6398947238922119,0.6344015002250671,0.6454839706420898,0.949999988079071
30,1.6117259562015533,1.9965959787368774,0.679309070110321,0.6663947105407715,0.6927339434623718,0.09999999403953552
31,1.6262633562088014,1.994513988494873,0.7001542448997498,0.7457070350646973,0.6598464250564575,0.05000000074505806
32,1.6357244908809663,1.9320999383926392,0.6510190367698669,0.601168155670166,0.7098849415779114,0.14999999105930328
33,1.5767050206661224,2.15108060836792,0.6867561340332031,0.7703621983528137,0.6195206046104431,0.5
